timestamp,die,total_faces,face,total_rolls,simulated_pct,expected_pct,delta_pct,chi2,balance,anomaly_flag
2026-08-05 18:59:18,D20,20,14,4998531,4.9985,5.0,-0.0015,0.0,BALANCED,NO
2026-08-05 18:59:18,D20,20,15,5003069,5.0031,5.0,0.0031,0.0,BALANCED,NO
2026-08-05 18:59:18,D20,20,16,4999124,4.9991,5.0,-0.0009,0.0,BALANCED,NO
2026-08-05 18:59:18,D20,20,17,5000265,5.0003,5.0,0.0003,0.0,BALANCED,NO
2026-08-05 18:59:18,D20,20,18,5001442,5.0014,5.0,0.0014,0.0,BALANCED,NO
2026-08-05 18:59:18,D20,20,19,4995687,4.9957,5.0,-0.0043,0.0,BALANCED,NO
2026-08-05 18:59:18,D20,20,20,4998505,4.9985,5.0,-0.0015,0.0,BALANCED,NO
2026-08-05 18:59:18,D100,100,1,998590,0.9986,1.0,-0.0014,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,2,1000622,1.0006,1.0,0.0006,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,3,1000203,1.0002,1.0,0.0002,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,4,998141,0.9981,1.0,-0.0019,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,5,999104,0.9991,1.0,-0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,6,999584,0.9996,1.0,-0.0004,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,7,999925,0.9999,1.0,-0.0001,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,8,999397,0.9994,1.0,-0.0006,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,9,999153,0.9992,1.0,-0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,10,1000908,1.0009,1.0,0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,11,1000404,1.0004,1.0,0.0004,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,12,1001462,1.0015,1.0,0.0015,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,13,1001864,1.0019,1.0,0.0019,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,14,1000208,1.0002,1.0,0.0002,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,15,999696,0.9997,1.0,-0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,16,998610,0.9986,1.0,-0.0014,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,17,999113,0.9991,1.0,-0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,18,999377,0.9994,1.0,-0.0006,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,19,999348,0.9993,1.0,-0.0007,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,20,1000852,1.0009,1.0,0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,21,999075,0.9991,1.0,-0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,22,1000923,1.0009,1.0,0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,23,1001139,1.0011,1.0,0.0011,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,24,1000819,1.0008,1.0,0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,25,999758,0.9998,1.0,-0.0002,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,26,999142,0.9991,1.0,-0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,27,999694,0.9997,1.0,-0.0003,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,28,998683,0.9987,1.0,-0.0013,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,29,1000117,1.0001,1.0,0.0001,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,30,1000049,1.0,1.0,0.0,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,31,1000744,1.0007,1.0,0.0007,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,32,998637,0.9986,1.0,-0.0014,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,33,999461,0.9995,1.0,-0.0005,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,34,998550,0.9985,1.0,-0.0015,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,35,1002376,1.0024,1.0,0.0024,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,36,1000247,1.0002,1.0,0.0002,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,37,999361,0.9994,1.0,-0.0006,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,38,1001337,1.0013,1.0,0.0013,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,39,1000868,1.0009,1.0,0.0009,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,40,998488,0.9985,1.0,-0.0015,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,41,1000631,1.0006,1.0,0.0006,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,42,999901,0.9999,1.0,-0.0001,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,43,998463,0.9985,1.0,-0.0015,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,44,1001537,1.0015,1.0,0.0015,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,45,999191,0.9992,1.0,-0.0008,0.0001,BALANCED,NO
2026-08-05 18:59:18,D100,100,46,1000381,1.0004,1.0,0.0004,0.0001,BALANCED,NO
